state,SP1971,SP1980,SP1990,SP2000,SP2010,SP2020
ACEH,143,93,58,40,28,19.41
SUMATERA UTARA,121,89,61,44,26,18.28
SUMATERA BARAT,152,121,74,53,30,16.35
RIAU,146,110,65,48,23,15.69
JAMBI,154,121,74,53,29,16.99
SUMATERA SELATAN,155,102,71,53,25,16.78
BENGKULU,167,111,69,53,27,19.73
LAMPUNG,146,99,69,48,23,15.69
DKI JAKARTA,129,82,43,25,14,10.38
JAWA BARAT,167,134,90,57,26,13.56
JAWA TENGAH,144,99,65,44,21,12.77
DI YOGYAKARTA,102,62,42,25,16,10.9
JAWA TIMUR,120,97,64,48,24,13.49
BALI,130,92,51,36,20,13.26
NUSA TENGGARA BARAT,221,189,145,89,48,24.64
NUSA TENGGARA TIMUR,154,128,77,57,39,25.67
KALIMANTAN BARAT,144,119,81,57,27,17.47
KALIMANTAN TENGAH,129,100,58,48,23,17.95
KALIMANTAN SELATAN,165,123,91,70,34,17.22
KALIMANTAN TIMUR,104,100,58,40,21,15.51
SULAWESI UTARA,114,93,63,28,25,17.23
SULAWESI TENGAH,150,130,92,66,45,27.72
SULAWESI SELATAN,161,111,70,57,31,18.2
SULAWESI TENGGARA,167,116,77,53,40,23.29
MALUKU,143,123,76,61,46,29.82
PAPUA,129,105,80,57,19,38.17
INDONESIA,145,109,71,47,26,16.85